Şirket Adı,"İzahname Onay
Kurul Karar Tarihi","Halka Arz Tarihi
",Borsada İşlem Görme Tarihi,Halka Arza Aracılık Eden Yetkili Kuruluş,İşlem Gördüğü Pazar,Toplanan Fon Miktarı (TL)*,Toplanan Fon Miktarı (USD),Mevcut Sermaye (TL),Halka Arz Sonrası Sermaye (TL),Halka Arz Edilen Pay (Nominal TL),Nominal Sermaye Artış Tutarı (TL),Nominal Ortak Satış Tutarı (TL),Halka Arz Fiyatı (TL),Talep Edilen Pay (Nominal TL),Talebin Halka Arza Oranı,Dağıtımı Yapılan Yatırımcı Sayısı,Satış Yöntemi**
ARD Grup Bilişim Teknolojileri A.Ş.,2020-01-16,29-30/01/2020,2020-02-06,Metro Yatırım Menkul Değerler A.Ş.,Ana Pazar,39750000.0,6649047.38805346,18000000.0,22000000.0,7500000.0,4000000.0,3500000.0,5.3,127500000.0,17.0,18055.0,Borsa'da sabit fiyatla talep toplama
Bayrak EBT Taban Sanayi ve Ticaret  A.Ş.,2020-05-21,28-29/05/2020,2020-06-04,Metro Yatırım Menkul Değerler A.Ş.,Ana Pazar,30340000.0,4452728.286712261,16000000.0,21250000.0,9250000.0,5250000.0,4000000.0,3.28,129500000.0,14.0,26686.0,Borsa'da sabit fiyatla talep toplama
Fade Gıda Yatırım Sanayi Ticaret A.Ş.,2020-07-23,29-30/07/2020,2020-08-06,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,43200000.0,6227296.315516347,55000000.0,66000000.0,18000000.0,11000000.0,7000000.0,2.4,216000000.0,12.0,83917.0,Borsa'da sabit fiyatla talep toplama
Dinamik Isı Makina Yalıtım Malzemeleri Sanayi ve Ticaret A.Ş.,2020-08-20,27-28/08/2020,2020-09-03,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,30624000.0,4192197.125256674,16000000.0,24700000.0,8700000.0,8700000.0,0.0,3.52,234900000.0,27.0,175917.0,Borsa'da sabit fiyatla talep toplama
Esenboğa Elektrik Üretim A.Ş. ,2020-09-24,01-02/10/2020,2020-10-09,Metro Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,204000000.0,26394783.148742367,40000000.0,64000000.0,24000000.0,24000000.0,0.0,8.5,156000000.0,6.5,249452.0,Borsa'da sabit fiyatla talep toplama
Kontrolmatik Teknoloji Enerji ve Mühendislik A.Ş.,2020-09-24,12-13/10/2020,2020-10-19,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,50025000.0,6350123.130823326,30000000.0,36250000.0,7250000.0,6250000.0,1000000.0,6.9,190675000.0,26.3,18317.0,Sabit Fiyatla Talep Toplama
Kervan Gıda Sanayi ve Ticaret A.Ş.,2020-11-19,26-27/11/2020 ,2020-12-04,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,465750000.0,59691641.2477892,150000000.0,187500000.0,51750000.0,37500000.0,14250000.0,9.0,875183534.0,16.91175911111111,251372.0,Fiyat Aralığı İle Talep Toplama
Arzum Elektrikli Ev Aletleri Sanayi ve Ticaret A.Ş.,2020-12-10,17-18/12/2020,2020-12-24,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,260141582.0,33829434.055502094,32210000.0,32210000.0,15302446.0,0.0,15302446.0,17.0,662267333.0,43.2785276942,207206.0,Fiyat Aralığı İle Talep Toplama
Işık Plastik Sanayi ve Dış Ticaret Pazarlama A.Ş.,2021-01-14,21-22/01/2021,2021-01-28,Garanti Yatırım Menkul Değerler A.Ş.,Ana Pazar,181709317.3,24560291.586132325,43741000.0,51802638.0,11286293.0,8061638.0,3224655.0,16.1,160411855.0,14.21297985086866,401153.0,Borsa'da sabit fiyatla talep toplama
Turk İlaç ve Serum Sanayi A.Ş.,2021-02-18,25-26/02/2021,2021-03-05,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,234500000.0,31814728.387691975,67000000.0,77050000.0,23450000.0,10050000.0,13400000.0,10.0,1451243670.0,61.886723667377396,122924.0,Sabit Fiyatla Talep Toplama
Naturelgaz Sanayi ve Ticaret A.Ş.,2021-03-18,25-26/03/2021,2021-04-01,Vakıf Yatırım Menkul Değerler A.Ş. ,Yıldız Pazar,293250000.0,36705343.39679321,100018594.0,115000000.0,34500000.0,14981406.0,19518594.0,8.5,1867996466.0,54.14482510144928,268570.0,Sabit Fiyatla Talep Toplama
Matriks Bilgi Dağıtım Hizmetleri A.Ş.,2021-03-25,30-31/03/2021,2021-04-06,Garanti Yatırım Menkul Kıymetler A.Ş. ,Yıldız Pazar,207759440.0,24953690.936606694,19500000.0,19500000.0,7419980.0,,7419980.0,28.0,65060523.0,8.768288189456037,689426.0,Borsa'da sabit fiyatla talep toplama
Tureks Turizm Taşımacılık A.Ş.,2021-03-25,01-02.04.2021,2021-04-08,Oyak Yatırım Menkul Değerler A.Ş.,Ana Pazar,270000000.0,33597969.18941789,100000000.0,108000000.0,22500000.0,8000000.0,14500000.0,12.0,136945618.0,6.086471911111111,772538.0,Borsa'da sabit fiyatla talep toplama
Qua Granıte Hayal Yapı ve Ürünleri Sanayi Ticaret A.Ş.,2021-03-25,05-06/04/2021,2021-04-09,İnfo Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,395040000.0,48506280.62032637,105000000.0,120000000.0,24000000.0,15000000.0,9000000.0,16.46,139132288.0,5.7971786666666665,846353.0,Borsa'da sabit fiyatla talep toplama
Galata Wind Enerji A.Ş.,2021-04-08,15-16/04/2021,2021-04-22,Garanti Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,811813446.4,100753772.4824385,534791457.65,534791457.65,160437440.0,,160437440.0,5.06,1068848220.0,6.662087228517234,810216.0,Sabit Fiyatla Talep Toplama
Biotrend Çevre ve Enerji Yatırımları A.Ş. ,2021-04-15,19-21/04/2021,2021-04-28,"Deniz Yatırım Menkul Kıymetler A.Ş. 
",Yıldız Pazar,749999988.0,92100252.72309752,128000000.0,150000000.0,41666666.0,22000000.0,19666666.0,18.0,744076378.0,17.857833357725333,252834.0,Fiyat Aralığı İle Talep Toplama
Aydem Yenilenebilir Enerji A.Ş.,2021-04-08,19-22/04/2021,2021-04-29,"Garanti Yatırım Menkul Kıymetler A.Ş., İş Yatırım Menkul Değerler A.Ş., Türkiye Kalkınma ve Yatırım Bankası A.Ş., Yapı Kredi Yatırım Menkul Değerler A.Ş., A1 Capital Yatırım Menkul Değerler A.Ş. (Birlikte Konsorsiyum liderleri)",Yıldız Pazar,1287000000.0,155634024.23392266,700000000.0,705000000.0,130000000.0,5000000.0,125000000.0,9.9,586426281.0,4.510971392307693,325182.0,Fiyat Aralığı İle Talep Toplama
Çan-2 Termik A.Ş.,2021-04-15,21-22/04/2021,2021-04-30,"Halk Yatırım Menkul Değerler A.Ş. , Vakıf Yatırım Menkul Değerler A.Ş.(Birlikte Konsorsiyum liderleri)",Yıldız Pazar,289961100.0,35064345.659902774,252410000.0,320000000.0,74349000.0,67590000.0,6759000.0,3.9,271219686.0,3.647926481862567,487079.0,Sabit Fiyatla Talep Toplama
Ziraat Gayrimenkul Yatırım Ortaklığı A.Ş.,2021-04-22,28-30/04/2021,2021-05-06,Ziraat Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,1877448000.0,228091992.5647848,3520215000.0,4693620000.0,1173405000.0,1173405000.0,,1.6,3125194547.0,2.6633554032921283,267705.0,Sabit Fiyatla Talep Toplama
Penta Teknoloji Ürünleri Dağıtım Ticaret A.Ş.,2021-04-29,06-07/05/2021,2021-05-17,İş Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,588120064.0,71089092.71122931,31724000.0,43724000.0,18378752.0,12000000.0,6378752.0,32.0,19354152.0,1.0530721563683976,94564.0,Sabit Fiyatla Talep Toplama
Kalekim Kimyevi Maddeler Sanayi ve Ticaret A.Ş.,2021-04-29,06-07/05/2021,2021-05-18,Ak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,508875000.0,61510334.82412668,100000000.0,115000000.0,34500000.0,15000000.0,19500000.0,14.75,51502411.0,1.492823507246377,302273.0,Fiyat Aralığı İle Talep Toplama
Mercan Kimya Sanayi ve Ticaret A.Ş.,2021-05-06,20-21/05/2021,2021-05-27,A1 Capital Yatırım Menkul Değerler A.Ş.,Ana Pazar,162606011.42000002,19461188.14419418,45000000.0,63456982.0,18456982.0,18456982.0,,8.81,23458158.0,1.2709639094842267,69369.0,Değişken fiyatla Talep Toplama
ATP Ticari Bilgisayar Ağı ve Elektrik Güç Kaynakları Üretim Pazarlama ve Ticaret A.Ş. ,2021-05-20,27-28/05/2021,2021-06-04,İş Yatırım Menkul Değerler A.Ş.,Ana Pazar,180000000.0,21053616.543464024,30000000.0,37500000.0,7500000.0,7500000.0,,24.0,12024403.0,1.6032537333333334,37233.0,Sabit Fiyatla Talep Toplama
Boğaziçi Beton Sanayi ve Ticaret A.Ş.,2021-05-20,26-28/05/2021,2021-06-03,Vakıf Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,399000000.0,46668850.004678585,280000000.0,380000000.0,114000000.0,100000000.0,14000000.0,3.5,158679399.0,1.3919245526315789,42380.0,Sabit Fiyatla Talep Toplama
Ünlü Yatırım Holding A.Ş:,2021-05-27,31/05/2021-01/06/2021,2021-06-07,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,314177762.1,36948179.755856626,137730842.0,175000000.0,45533009.0,37269158.0,8263851.0,6.9,53083351.0,1.1658212836318373,20792.0,Sabit Fiyatla Talep Toplama
BMS Çelik Hasır Sanayi ve Ticaret A.Ş.,2021-05-27,31/05/2021-01/06/2021,2021-06-08,Invest AZ Menkul Değerler ,Ana Pazar,75485000.0,8877246.213190328,20010000.0,32210000.0,15500000.0,12200000.0,3300000.0,4.87,27512344.0,1.774989935483871,27059.0,Borsada Sabit Fiyatla Talep Toplama
Oyak Yatırım Menkul Değerler A.Ş.,2021-05-27,02-04/06/2021,2021-06-10,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,525929999.99999994,60577055.97788527,88330000.0,94000000.0,28200000.0,5670000.0,22530000.0,18.65,58031418.0,2.0578517021276594,50814.0,Sabit fiyatla Talep Toplama
Başkent Doğalgaz Dağıtım Gayrimenkul Yatırım Ortaklığı A.Ş.,2021-05-27,03-04/06/2021,2021-06-11,"Garanti Yatırım Menkul Kıymetler A.Ş., A1 Capital Menkul Değerler A.Ş., Ahlatçı Yatırım Menkul Değerler A.Ş., Ak Yatırım Menkul Değerler A.Ş., Alnus Yatırım Menkul Değerler A.Ş., Alternatif Yatırım Menkul Değerler A.Ş., Anadolu Yatırım Menkul Kıymetler A.Ş., Ata Yatırım Menkul Kıymetler A.Ş., Deniz Yatırım Menkul Kıymetler A.Ş., Dinamik Menkul Değerler A.Ş.,Gedik Yatırım Menkul Değerler A.Ş., Global Menkul Değerler A.Ş., Halk Yatırım Menkul Değerler A.Ş., ICBC Turkey Yatırım Menkul Değerler A.Ş., Ing Yatırım Menkul Değerler A.Ş., Investaz Yatırım Menkul Değerler A.Ş., İnfo Yatırım Menkul Değerler A.Ş., İş Yatırım Menkul Değerler A.Ş., İntegral Yatırım Menkul Değerler A.Ş., Marbaş Menkul Değerler A.Ş., Meksa Yatırım Menkul Değerler A.Ş., Oyak Yatırım Menkul Değerler A.Ş., Piramit Menkul Kıymetler A.Ş., QNB Finans Yatırım Menkul Değerler A.Ş., Şeker Yatırım Menkul Değerler A.Ş., Tacirler Yatırım Menkul Değerler A.Ş., Tera Yatırım Menkul Değerler A.Ş., Ünlü Menkul Değerler A.Ş., Vakıf Yatırım Menkul Değerler A.Ş., Yapı Kredi Yatırım Menkul Değerler A.Ş., Ziraat Yatırım Menkul Değerler A.Ş.,",Yıldız Pazar,1701000000.0,195922598.47961298,700000000.0,700000000.0,175000000.0,,175000000.0,9.72,175000000.0,1.0,50888.0,Sabit Fiyatla Talep Toplama
Selva Gıda Sanayi A.Ş.,2021-06-10,17-18/06/2021,2021-06-25,Ahlatçı Yatırım Menkul Değerler A.Ş.,Ana Pazar,79560000.0,9182189.599058237,65000000.0,78000000.0,26000000.0,13000000.0,13000000.0,3.06,54456435.0,2.0944782692307693,821.0,Sabit Fiyatla Talep Toplama
Meditera Tıbbi Malzeme Sanayi ve Ticaret A.Ş.,2021-06-17,23-24-25/06/2021,2021-07-02,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,196000000.0,22587931.590835758,27000000.0,34000000.0,7000000.0,7000000.0,,28.0,72548583.0,10.364083285714285,23590.0,Sabit Fiyatla Talep Toplama
E-Data Teknoloji Pazarlama A.Ş.,2021-06-24,29-30/06/2021,2021-07-05,A1 Capital Yatırım Menkul Değerler A.Ş.,Ana Pazar,78000000.0,8985864.54385217,32000000.0,45000000.0,13000000.0,13000000.0,,6.0,48008309.0,3.692946846153846,45105.0,Borsada Sabit Fiyatla Talep Toplama
Kütahya Şeker Fabrikası A.Ş.,2021-06-24,01-02/07/2021,2021-07-08,Tacirler Yatırım Menkul Değerler A.Ş.,Ana Pazar,241500000.0,27823542.288327936,46000000.0,46000000.0,11500000.0,,11500000.0,21.0,9368780.0,0.8146765217391304,19546.0,Borsada Sabit Fiyatla Talep Toplama
VBT Yazılım A.Ş.,2021-06-24,05-06/07/2021,2021-07-12,Metro Yatırım Menkul Değerler A.Ş.,Ana Pazar,99840000.0,11521285.066411255,20000000.0,26000000.0,8000000.0,6000000.0,2000000.0,12.48,26791484.0,3.3489355,49228.0,Borsada Sabit Fiyatla Talep Toplama
Escar Turizm Taşımacılık Ticaret A.Ş.,2021-07-01,07-08/07/2021,2021-07-13,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,165000000.0,18994554.894263644,45480000.0,54300000.0,11000000.0,8820000.0,2180000.0,15.0,27737600.0,2.5216,29810.0,Borsada Sabit Fiyatla Talep Toplama
Kartal Yenilenebilir Enerji Üretim A.Ş.,2021-07-01,09-12/07/2021,2021-07-16,A1 Capital Yatırım Menkul Değerler A.Ş.,Ana Pazar,120000000.0,13901921.940708304,45000000.0,55000000.0,15000000.0,10000000.0,5000000.0,8.0,26104146.0,1.7402764,16209.0,Borsada Sabit Fiyatla Talep Toplama
Manas Enerji Yönetimi Sanayi ve Ticaret A.Ş.,2021-07-01,13-14/07/2021,2021-07-27,Tera Yatırım Menkul Değerler A.Ş.,Ana Pazar,77220000.0,8966245.950559085,12000000.0,19800000.0,7800000.0,7800000.0,,9.9,20138086.0,2.5818058974358973,19450.0,Borsada Sabit Fiyatla Talep Toplama
Gen İlaç ve Sağlık Ürünleri Sanayi ve Ticaret A.Ş. ,2021-07-08,28-30/07/2021,2021-08-05,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,739062500.0,87838279.51366192,250000000.0,300000000.0,68750000.0,50000000.0,18750000.0,10.75,418528945.0,6.087693745454546,49079.0, Sabit Fiyatla Talep Toplama
Kızılbük Gayrimenkul Yatırım Ortaklığı A.Ş. ,2021-07-14,04-06/08/2021,2021-08-12,"Halk Yatırım Menkul Değerler A.Ş. , Türkiye Kalkınma ve Yatırım Bankası A.Ş. ",Ana Pazar,948000000.0,110723087.16523202,240000000.0,240000000.0,60000000.0,,60000000.0,15.8,60000000.0,1.0,33070.0,Sabit Fiyatla Talep Toplama
Girişim Elektrik Sanayi Taahhüt ve Ticaret A.Ş.,2021-07-29,11-12-13/08/2021,2021-08-19,Oyak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,459000000.0,54203422.25528749,100000000.0,115000000.0,27000000.0,15000000.0,12000000.0,17.0,489210638.0,18.118912518518517,42843.0,Sabit Fiyatla Talep Toplama
Birleşim Mühendislik Isıtma Soğutma Havalandırma Sanayi ve Ticaret A.ş.,2021-08-05,11-12-13/08/2021,2021-08-20,QNB Finans Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,354900000.0,41910227.79608177,80000000.0,102000000.0,39000000.0,22000000.0,17000000.0,9.1,222366807.0,5.701713,35682.0,Sabit Fiyatla Talep Toplama
Panelsan Çatı Cephe Sistemleri Sanayi ve Ticaret A.Ş.,2022-01-27,9-11/02/2022,2022-02-18,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,214199999.99999997,15874545.144627333,57500000.0,75000000.0,21000000.0,17500000.0,3500000.0,10.2,167899000.0,7.995190476190476,42122.0,Sabit Fiyatla Talep Toplama
Hun Yenilenebilir Enerji Üretim A.Ş.,2022-02-10,15-16/02/2022,2022-02-21,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,236600000.0,17377381.494484186,500000000.0,580000000.0,130000000.0,80000000.0,50000000.0,1.82,383348000.0,2.9488307692307694,243100.0,Borsada Sabit Fiyatla Talep Toplama
Dap Gayrimenkul Geliştirme A.Ş.,2022-02-10,15-18/02/2022,2022-02-24,Garanti Yatırım Menkul Kıymetler A.Ş.,Yıldız Pazar,555370000.0,40806024.98163115,200000000.0,200000000.0,30020000.0,0.0,30020000.0,18.5,42049000.0,1.4006995336442372,45436.0,Sabit Fiyatla Talep Toplama
Investco Holding A.Ş.,2022-02-17,22-23/02/2022,2022-03-01,Metro Yatırım Menkul Kıymetler A.Ş.,Yıldız Pazar,900000000.0,64102564.102564104,150000000.0,187500000.0,37500000.0,37500000.0,0.0,24,54780000.0,1.4608,122203.0,Borsada Sabit Fiyatla Talep Toplama
Hitit Bilgisayar Hizmetleri A.Ş.,2022-02-17,23-25/02/2022,2022-03-03,Ünlü Menkul Değerler A.Ş.,Yıldız Pazar,431105773.0,30706632.928523093,100000000.0,127500000.0,35192000.0,27500000.0,7692308.0,"11,50-12,50",103001000.0,2.926829961354853,48268.0,Fiyat Aralığı İle Talep Toplama
Koleksiyon Mobilya Sanayi A.Ş.,2022-02-17,24-25/02/2022,2022-03-04,Oyak Yatırım Menkul Değerler A.Ş.,Ana Pazar,156389680.4,10988285.911019927,337046732.0,431419816.0,107854952.0,94373084.0,13481868.0,1.45,456493000.0,4.232469519261972,34037.0,Sabit Fiyatla Talep Toplama
Gezinomi Seyahat Turizm Ticaret A.Ş.,2022-02-24,01-02/03/2022,2022-03-08,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,140000000.0,9978617.248752674,15000000.0,25000000.0,10000000.0,10000000.0,0.0,14,110808000.0,11.0808,5391.0,Sabit Fiyatla Talep Toplama
Gür-Sel Turizm Taşımacılık ve Servis Ticaret A.Ş.,2022-02-24,03-04/03/2022,2022-03-09,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,181500000.0,12802787.692394508,87000000.0,102000000.0,22000000.0,15000000.0,7000000.0,8.25,88032000.0,4.001454545454545,256544.0,Sabit Fiyatla Talep Toplama
Ensari Deri Gıda Sanayi ve Ticaret A.Ş.,2022-03-10,16-17/03/2022,2022-03-22,Metro Yatırım Menkul Kıymetler A.Ş.,Ana Pazar,119000000.0,8060146.301815227,30000000.0,36500000.0,8500000.0,6500000.0,2000000.0,14,21763000.0,2.5603529411764705,258045.0,Borsada Satış-Sabit fiyatla Talep Toplama
Smart Güneş Enerjisi Teknolojileri Araştırma Geliştirme Üretim Sanayi ve Ticaret A.Ş.,2022-03-10,16-17-18/03/2022,2022-03-24,QNB Finans Yatırım ve TSKB (Eş Lider),Yıldız Pazar,534912000.0,36230831.75291249,127500000.0,153000000.0,38208000.0,25500000.0,12708000.0,14,303741000.0,7.949670226130653,101405.0,Sabit Fiyatla Talep Toplama
LDR Turizm A.Ş.,2022-03-24,29-30/03/2022,2022-04-04,Tera Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,380460000.0,25977413.31985962,53000000.0,66000000.0,20400000.0,13000000.0,7400000.0,18.65,63049000.0,3.090637254901961,294466.0,Borsada Satış-Sabit fiyatla Talep Toplama
Consus Enerji İşletmeciliği ve Hizmetleri A.Ş.,2022-04-07,14-15/04/2022,2022-04-20,Garanti Yatırım Menkul Kıymetler A.Ş.,Yıldız Pazar,519750000.0,35555236.31662118,333000000.0,385500000.0,115500000.0,52500000.0,63000000.0,4.5,122433000.0,1.060025974025974,173974.0,Borsada Satış-Sabit fiyatla Talep Toplama
Suwen Tekstil Sanayi Pazarlama A.Ş.,2022-04-07,13-15/04/2022,2022-04-21,T. Sınai Kalk. Bank. ,Yıldız Pazar,425500000.0,29107749.981187705,56000000.0,62000000.0,23000000.0,6000000.0,17000000.0,18.5,81035000.0,3.5232608695652172,68025.0,Sabit Fiyatla TT
BMS Birleşik Metal Sanayi ve Ticaret A.Ş.,2022-04-14,21-22/04/2022,2022-04-27,Garanti Yatırım ,Ana Pazar,190312500.0,12940442.516386978,36525000.0,43050000.0,10875000.0,6525000.0,4350000.0,17.5,27473000.0,2.5262528735632186,209262.0,Sabit Fiyatla TT
